C0,k_base,DOC,pH,Concentration,Critical_Distance
371.8182847451423,0.30312485068508216,7.312499342953153,8.410395385607249,1.6811208233888206e-09,6.756017991730253
560.8680002928244,0.3299429405811888,8.67796090851636,7.909544186235427,5.6306399326932945e-11,6.583298515558061
603.9867739874433,0.35765172732278894,10.381114420507249,8.407207307737588,1.0605345523948849e-13,5.533307867910595
665.9745773248637,0.24932094026511994,9.144283377487676,8.471282031709626,2.976647502423403e-08,8.628394707146622
631.1610757584616,0.30003654925101036,9.19327059581802,7.767312758585015,5.460550660151572e-10,7.306340760934837
644.2081851631841,0.32115178284022694,9.434256251699068,7.7571509917148145,5.514121503265744e-11,6.778622439660432
681.9006119000902,0.1920421804369373,7.8687855162787335,7.891950581358861,3.999843018145951e-05,12.419624802967437
681.932479675927,0.31730104453810615,10.229124529771429,7.545465310412798,3.3929650260165426e-11,6.751458333439488
419.5930145409062,0.30761259978659267,9.368354833531614,7.689464585719289,1.545962946072019e-10,6.375458564395246
605.0886859747004,0.29172974337020807,8.316707241336289,7.596219599657732,4.7881473439919e-09,7.856455097965678
442.78146690892083,0.2995065139934132,10.323682565459109,8.459347407564957,2.851582609995051e-11,6.097908865516349
505.400550026011,0.32307566114152236,8.358755819292876,7.806125370267981,1.8026471108244508e-10,6.692826252066564
536.4082483533031,0.34853002978169967,6.337077219404014,8.072863297403636,4.2048872854716116e-10,6.988704520662916
622.3563808170741,0.35713838647617707,7.931806562407358,8.16069359289046,1.3171169532232115e-11,6.422990210059925
562.5147244475106,0.18974608888745434,9.627810603643402,7.420460410364933,1.1942258882558792e-05,11.160542251485058
557.3689964927814,0.33115732628808303,6.777092916764411,7.626844707705696,1.5361145895909852e-09,7.39082100949086
626.526931444024,0.32807619145017924,9.89715041482467,7.836080923548923,1.1952904848568441e-11,6.412469734384674
643.3960887643926,0.2470915115047277,5.801932404899998,7.903736302989273,3.7615676670527717e-06,10.755668380372313
601.6740916520703,0.2624162681140552,7.132231942501516,7.368835024213933,3.463358747841991e-07,9.426193095811243
643.8605794396709,0.26215370901518104,9.453661844601593,7.436636662103654,1.9664297116754183e-08,8.422949279429387
542.8551807772748,0.3362120276967943,8.327497532021384,8.474413245207243,2.351418165552119e-11,6.350417245487581
483.3911930660206,0.3871253811712024,7.779200389034536,7.708932469451516,2.028595392583506e-12,5.72741324007369
689.285858585294,0.30603944175896985,7.768407514411674,7.653864108974182,3.23280831937313e-09,7.9486343850303625
637.7188262323007,0.3555189453541362,7.697260351831794,7.413750585388161,7.017109283488872e-11,6.818716268408605
530.953481590229,0.26753479864749935,6.761691664711539,8.453979470032863,1.0228220002748909e-07,8.685462860687446
592.072102868608,0.3120060690646955,9.438421832056106,8.272433847675847,5.633306141896416e-11,6.661802706236819
625.5482024194488,0.31146404517201187,9.232292017534187,7.416234039641708,2.8668125364701324e-10,7.127214632267238
731.8561202329109,0.3040491006314208,8.970521925375518,7.627379881136965,7.295733804960491e-10,7.611636135387545
453.40526211646244,0.3398465501294868,8.37498986720135,7.506346262061108,5.4721765097901954e-11,6.26652400905663
662.3521109305652,0.3496013429959169,8.594777144230697,7.360827128830105,2.9213363546778875e-11,6.677628855824833
570.0493350065971,0.34422382450979344,6.734868093515411,8.184044766211908,2.7643736682931843e-10,6.977594159027997
626.0699595434905,0.41753729973679643,8.668100507661226,8.20926229750033,1.2981527342924872e-14,5.272328245563175
606.3013610809462,0.3839084641016429,9.204594168858964,8.0432765901979,1.349845811526064e-13,5.575060555813842
785.1901113947483,0.343793662094656,7.614436621190789,7.529260345580468,2.258551046738587e-10,7.405816361973124
536.4662312813834,0.2721667071832152,8.802045061064277,8.348453169049485,5.024044375629408e-09,7.671567263958835
630.4890752109457,0.27199210218635594,8.426216410040658,8.365187202183494,9.763170779723018e-09,8.150957157131428
518.9874114766187,0.2951340686059957,10.231477374565177,7.809645842719128,1.5202590488076571e-10,6.6931233636973655
576.9938591376025,0.33320267287720995,8.904186715496705,8.4825473481668,1.2449547856617405e-11,6.306682539268043
591.8556968677825,0.3580423495383185,8.366346467846439,7.770317700454488,9.894652069348555e-12,6.296046277482575
668.7260241396211,0.17796798397444094,8.324640999220948,8.145576537003597,7.361271384736368e-05,12.846693226986114
541.5367452428786,0.4205372746137688,8.867063657956866,7.4573543315367115,2.2813683593122243e-14,5.179104218401812
506.72514375484764,0.3289714764179939,4.734065197394962,8.006072585575176,2.7109948673059572e-08,8.116256734102747
682.9770773584227,0.26791658308365107,9.293222976410068,8.48738803386556,4.141850684945475e-09,8.009921180030197
659.919357794585,0.31354221321222053,9.876817146267872,7.506581712659094,8.448639823459493e-11,6.911135011194659
447.50557949396443,0.3060950777872131,9.062592730205191,8.101002147569696,1.6910695642301337e-10,6.493677465408732
