Site,Metal,Mean Concentration (µg/L),Threshold Type,Threshold (µg/L),Exceedance
Trib 3 USSPENCE Lv DS,Iron (Fe),173.87370033453644,AA-EQS,1000.0,False
Catchment outflow,Chromium (Cr),1.1530604988127986,AA-EQS,4.7,False
Hard LV,Chromium (Cr),0.9214957062066782,AA-EQS,4.7,False
Hard LV US,Chromium (Cr),1.4462510681424126,AA-EQS,4.7,False
Headwaters,Chromium (Cr),1.7492278910792591,AA-EQS,4.7,False
Healaugh Spring,Chromium (Cr),0.4845014130285424,AA-EQS,4.7,False
OGB before swale confluence,Chromium (Cr),0.0759725685488484,AA-EQS,4.7,False
River Swale DS,Chromium (Cr),0.1849568018383289,AA-EQS,4.7,False
River Swale US,Chromium (Cr),0.118531703006308,AA-EQS,4.7,False
SPENCE level,Chromium (Cr),1.154381389264699,AA-EQS,4.7,False
Trib 1,Chromium (Cr),1.245256197945022,AA-EQS,4.7,False
Trib 1 DS,Chromium (Cr),1.61940870033356,AA-EQS,4.7,False
Trib 1 US,Chromium (Cr),3.7797223294254634,AA-EQS,4.7,False
Trib 2,Chromium (Cr),1.0897557410794318,AA-EQS,4.7,False
Trib 3,Chromium (Cr),1.1050556676251424,AA-EQS,4.7,False
Trib 3 DS,Chromium (Cr),1.2023278374571076,AA-EQS,4.7,False
Trib 3 US/SPENCE Lv DS,Chromium (Cr),1.219884764690769,AA-EQS,4.7,False
Trib 3 USSPENCE Lv DS,Chromium (Cr),1.2737731821089635,AA-EQS,4.7,False
Catchment outflow,Copper (Cu),6.8270818224636205,AA-EQS,1.0,True
Hard LV,Copper (Cu),3.1919886231250176,AA-EQS,1.0,True
Hard LV US,Copper (Cu),11.14150920600142,AA-EQS,1.0,True
Headwaters,Copper (Cu),2.0225634105422827,AA-EQS,1.0,True
Healaugh Spring,Copper (Cu),0.3819283074245576,AA-EQS,1.0,False
OGB before swale confluence,Copper (Cu),0.5698785930932772,AA-EQS,1.0,False
River Swale DS,Copper (Cu),2.0872164115274296,AA-EQS,1.0,True
River Swale US,Copper (Cu),0.5451713073557404,AA-EQS,1.0,False
SPENCE level,Copper (Cu),2.809696358377374,AA-EQS,1.0,True
Trib 1,Copper (Cu),1.5885717560063062,AA-EQS,1.0,True
Trib 1 DS,Copper (Cu),4.803213418309451,AA-EQS,1.0,True
Trib 1 US,Copper (Cu),5.661551765289417,AA-EQS,1.0,True
Trib 2,Copper (Cu),1.3405791561493523,AA-EQS,1.0,True
Trib 3,Copper (Cu),3.5355286981887977,AA-EQS,1.0,True
Trib 3 DS,Copper (Cu),6.551475064181794,AA-EQS,1.0,True
Trib 3 US/SPENCE Lv DS,Copper (Cu),6.356185118740164,AA-EQS,1.0,True
Trib 3 USSPENCE Lv DS,Copper (Cu),6.308541484351802,AA-EQS,1.0,True
Catchment outflow,Silver (Ag),0.2041376408662988,AA-EQS,0.05,True
Hard LV,Silver (Ag),0.4561856600450436,AA-EQS,0.05,True
Hard LV US,Silver (Ag),0.2176007345389259,AA-EQS,0.05,True
Headwaters,Silver (Ag),0.2578202329729523,AA-EQS,0.05,True
Healaugh Spring,Silver (Ag),0.4283418803834343,AA-EQS,0.05,True
OGB before swale confluence,Silver (Ag),-0.0594434483952292,AA-EQS,0.05,False
River Swale DS,Silver (Ag),0.0939252254455527,AA-EQS,0.05,True
River Swale US,Silver (Ag),0.1093397997135125,AA-EQS,0.05,True
SPENCE level,Silver (Ag),0.3487515353333228,AA-EQS,0.05,True
Trib 1,Silver (Ag),0.5578005904138217,AA-EQS,0.05,True
Trib 1 DS,Silver (Ag),0.0927094307885137,AA-EQS,0.05,True
Trib 1 US,Silver (Ag),0.4526343185129318,AA-EQS,0.05,True
Trib 2,Silver (Ag),0.3151905277762644,AA-EQS,0.05,True
Trib 3,Silver (Ag),0.3245411870405709,AA-EQS,0.05,True
Trib 3 DS,Silver (Ag),0.4918112659425386,AA-EQS,0.05,True
Trib 3 US/SPENCE Lv DS,Silver (Ag),0.4027418312074231,AA-EQS,0.05,True
Trib 3 USSPENCE Lv DS,Silver (Ag),0.6745651313058595,AA-EQS,0.05,True
